,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
1335,2021,1,10,6,40,999,2.3,3.3,2.69,14.81,9.92,273,1019.3,14.6,999.0,12.1,99,99
1341,2021,1,10,7,40,999,2.3,3.0,2.39,13.79,8.93,273,1019.1,14.5,999.0,12.1,99,99
1347,2021,1,10,8,40,999,2.2,3.0,2.15,16.0,8.77,268,1019.4,14.5,999.0,12.4,99,99
1353,2021,1,10,9,40,999,1.9,2.6,1.89,13.79,8.18,276,1019.4,14.4,999.0,12.8,99,99
1359,2021,1,10,10,40,999,1.3,2.2,1.91,16.0,8.72,265,1019.4,14.3,999.0,12.6,99,99
1365,2021,1,10,11,40,999,0.8,1.8,1.92,14.81,8.83,263,1019.3,14.2,999.0,12.9,99,99
1371,2021,1,10,12,40,999,1.8,2.4,1.95,14.81,9.3,263,1019.3,14.1,999.0,13.0,99,99
1377,2021,1,10,13,40,999,2.3,3.2,1.96,14.81,9.35,276,1019.8,14.1,999.0,12.9,99,99
1383,2021,1,10,14,40,999,3.5,4.7,1.85,13.79,9.0,273,1020.4,12.6,999.0,11.8,99,99
1389,2021,1,10,15,40,999,2.5,3.7,1.89,13.79,8.9,271,1020.8,14.0,999.0,11.5,99,99
1395,2021,1,10,16,40,999,1.3,2.3,1.77,13.79,8.98,280,1021.7,15.1,999.0,11.1,99,99
1401,2021,1,10,17,40,999,1.6,2.3,1.6,12.9,8.3,267,1022.6,15.0,999.0,11.2,99,99
1407,2021,1,10,18,40,999,2.2,3.4,1.76,13.79,8.71,278,1022.3,15.0,999.0,11.0,99,99
