beach_id,beach_name,latitude,longitude,sunrise,sunset,weather_description,temperature,water_temperature,cloud_cover,wind_speed,wave_height
44,Montara State Beach,37.54661402,-122.5149052,6:51:00,16:58:00,Clear,53,51,0,6,3.6
44,Montara State Beach,37.54661402,-122.5149052,6:48:00,17:01:00,Clear,50,55,0,7,3.9
44,Montara State Beach,37.54661402,-122.5149052,6:49:00,17:00:00,Clear,49,55,0,7,4.6
45,El Granada Beach,37.5005241,-122.4706817,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
45,El Granada Beach,37.5005241,-122.4706817,6:46:00,17:01:00,Clear,52,51,0,8,1.6
45,El Granada Beach,37.5005241,-122.4706817,6:51:00,16:58:00,Clear,53,51,0,6,3.6
45,El Granada Beach,37.5005241,-122.4706817,6:48:00,17:01:00,Clear,50,55,0,7,3.9
45,El Granada Beach,37.5005241,-122.4706817,6:49:00,17:00:00,Clear,49,55,0,7,4.6
46,Vallejo Beach,37.49660111,-122.4650877,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
46,Vallejo Beach,37.49660111,-122.4650877,6:46:00,17:01:00,Clear,52,51,0,8,1.6
46,Vallejo Beach,37.49660111,-122.4650877,6:51:00,16:58:00,Clear,53,51,0,6,3.6
46,Vallejo Beach,37.49660111,-122.4650877,6:48:00,17:01:00,Clear,50,55,0,7,3.9
46,Vallejo Beach,37.49660111,-122.4650877,6:49:00,17:00:00,Clear,49,55,0,7,4.6
47,Roosevelt Beach,37.48808914,-122.4566241,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
47,Roosevelt Beach,37.48808914,-122.4566241,6:46:00,17:01:00,Clear,52,51,0,8,1.6
47,Roosevelt Beach,37.48808914,-122.4566241,6:51:00,16:58:00,Clear,53,51,0,6,3.6
47,Roosevelt Beach,37.48808914,-122.4566241,6:48:00,17:01:00,Clear,50,55,0,7,3.9
47,Roosevelt Beach,37.48808914,-122.4566241,6:49:00,17:00:00,Clear,49,55,0,7,4.6
48,Dunes Beach,37.48509246,-122.4539204,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
48,Dunes Beach,37.48509246,-122.4539204,6:46:00,17:01:00,Clear,52,51,0,8,1.6
48,Dunes Beach,37.48509246,-122.4539204,6:51:00,16:58:00,Clear,53,51,0,6,3.6
